CATAID redshift SurfaceDensity CountInCyl AGEDenPar
  585614  0.07659   0.28700    2.0000   0.83300
  585625  0.07586   0.30700    1.0670   0.41100
  585621  0.07617   0.31000    2.1330   0.93500
  585624  0.07643   0.28200    1.0670   0.57900
  585698  0.07260   0.60200    3.0000    1.3940
  585699  0.07881   0.27900    0.0000  0.052000
  585748  0.07305    1.6190    5.0000    1.3350
  585759  0.07241    1.1390    3.0000    1.0980
  585765  0.07283    1.7740    5.0000    1.9810
  586322  0.07201   0.78300    1.0000   0.82700
  586336  0.07401   0.40200    0.0000   0.54800
  586442  0.06362  0.012000    0.0000  0.072000
  586599  0.07464  0.051000    0.0000   0.10200
  592209  0.05452   0.46900    1.0000    1.0510
  592216  0.05219   0.47500    1.0000   0.10800
  592234  0.05286   0.64700    0.0000   0.27300
  592247  0.05390   0.72300    0.0000    1.0120
  592285  0.05520   0.79000    2.0000    1.7020
  592313  0.05565   0.76700    2.0000    1.4440
  592330  0.07122  0.072000    0.0000   0.18500
  592360  0.05611   0.49500    0.0000   0.56500
  592402  0.05423   0.52500    2.0000    1.2100
  592418  0.05472   0.40300    2.1330    1.4470
  592419  0.05587   0.79100    3.2000   0.94600
  592421  0.05397   0.42600    2.1330   0.73800
  592428  0.07088   0.10500    0.0000   0.18300
  592447  0.05487   0.81100    3.2000    1.9190
  592549  0.07087  0.051000    0.0000  0.066000
  592616  0.05460   0.28000    1.0000    1.1280
  592621  0.05440   0.27900    1.0000    1.0850
  592646  0.07842   0.17000    1.0000   0.60900
  592655  0.05518   0.33900    2.0000   0.97600
  592672  0.07831   0.17200    0.0000   0.49600
  592712  0.05353   0.37900    2.0000   0.79300
  592835  0.05241   0.86400    3.0000    1.1090
  592858  0.05362    2.4460    5.2270    2.7370
  592860  0.05239    2.5990    5.2270    1.2560
  592872  0.05186    1.4800    4.0000    1.2500
  592876  0.05045    1.3470    4.0000   0.35000
  592909  0.07814   0.13900    0.0000   0.38300
  592919  0.05331   0.77400    1.0370    2.5490
  592947  0.06505  0.046000    0.0000   -999.90
  592998  0.05582   0.61500    2.0000   0.42100
  592999  0.05348   0.81800    3.0000    1.6060
  593010  0.05312    1.1680    3.0000    2.0590
  593033  0.05360    1.0040    4.0000    2.0330
  593075  0.05296    1.6530    6.0000    1.7220
  593114  0.05529    1.4540    3.1870    1.0150
  593117  0.05496   0.84900    3.1870   0.50600
  593124  0.07478  0.091000    0.0000   0.12400
  593144  0.05591   0.59900    2.0000   0.87900
  593143  0.05518    1.1240    2.1600   0.98000
  593182  0.05544    1.0400    2.0000   0.99500
  593298  0.06700  0.022000    0.0000  0.011000
  593330  0.06733  0.030000    1.0000   0.17600
  593353  0.05544   0.26100    1.0500    1.0370
  593387  0.05554   0.24400    0.0000   0.80100
  593388  0.05542   0.29800    1.0740    1.0800
  593587  0.05605   0.45400    3.0000    1.6830
  593660  0.07382   0.10600    0.0000   0.21400
  593692  0.06487 0.0040000    0.0000   -999.90
  593701  0.06490  0.019000    1.0000   0.19800
  593729  0.07328  0.078000    0.0000   0.14200
  594040  0.05806   0.31400    4.0000   0.51000
  594053  0.05678   0.20600    2.0000   0.53000
  594078  0.05759   0.19800    2.0000   0.67600
  594111  0.05738   0.25100    3.2140    1.1740
  594113  0.05001  0.073000    0.0000   -999.90
  594358  0.07293  0.067000    0.0000   0.14500
  594454  0.07267  0.084000    0.0000   0.15900
  594476  0.05070  0.087000    0.0000   0.14600
  594536  0.05858  0.045000    0.0000  0.014000
  594703  0.05080  0.070000    0.0000   0.10600
  594750  0.05867  0.077000    0.0000  0.052000
  594754  0.05883  0.092000    0.0000  0.039000
  598900  0.05283   0.19100    0.0000   -999.90
  598923  0.07906    1.8830    7.0000    1.3330
  598938  0.07881    4.1150    11.000    1.7660
  598944  0.07809    2.9830    9.0000    1.5730
  598947  0.07820    18.478    9.6430    1.4780
  598998  0.07952    1.8330    5.3570    1.6570
  599000  0.07961    1.5820    4.0000    1.6490
  599020  0.07946   0.79300    3.0000    1.7140
  599062  0.07928   0.54600    2.0000    1.6570
  599076  0.07854   0.37800    0.0000    1.1480
  599077  0.05271   0.28100    0.0000   0.57100
  599146  0.07714   0.34000    0.0000   0.23800
  599202  0.07774    1.0230    2.0000   0.62400
  599220  0.07903    1.9100    5.0000    1.4430
  599222  0.07770    1.1560    3.0000   0.57700
  599224  0.07957    2.1210    6.0000    1.5000
  599230  0.07892    6.7690    6.0000    1.6170
  599250  0.07933    5.8030    6.0000    1.6490
  599252  0.07786    1.4160    4.0000   0.49700
  599265  0.07929   0.77200    0.0000    1.5270
  599280  0.07892   0.72700    1.0320    1.6520
  599310  0.05135   0.65000    1.0530   0.81900
  599349  0.07965   0.35100    1.0590   0.52500
  599591  0.05295   0.28800    2.0000   0.68900
  599609  0.05277   0.34700    2.0000   0.73900
  599689  0.05237   0.99200    2.0000   0.65000
  599702  0.05311    1.1580    2.0000   0.94800
  599705  0.05340   0.98200    3.0000    1.0110
  599764  0.05305    1.4860    4.0000    1.0500
  599768  0.07760  0.039000    1.0000   0.15700
  599819  0.05335    1.3260    4.0000    1.0840
  599834  0.05314    1.2320    4.0000   0.86300
  599842  0.05458    1.9860    5.0000   0.34400
  599846  0.05332    1.0460    3.0000   0.79200
  599848  0.05284    1.6310    5.0000    1.0980
  599875  0.05385    2.0300    5.0000   0.68100
  599877  0.05353   0.73100    2.0830   0.72000
  599879  0.05248    1.6520    5.0000    1.1440
  599913  0.07106  0.089000    0.0000  0.093000
  599980  0.05403   0.37200    2.0000   0.52800
  600024  0.05148   0.26900    1.0000   0.18300
  600025  0.05174   0.24900    2.0000   0.56000
  600026  0.05196   0.23300    1.0000   0.30100
  600032  0.05386   0.25700    3.2140   0.64700
  600038  0.07906  0.026000    0.0000   -999.90
  600122  0.05371   0.44200    1.0000   0.67800
  600233  0.07264   0.12200    0.0000   0.42300
  600238  0.07227   0.13500    0.0000   0.68000
  600259  0.07296   0.10900    1.0000   0.22700
  600267  0.05513    1.0490    4.0000   0.37700
  600268  0.05507   0.76200    4.0000   0.61000
  600273  0.05335   0.82000    4.0000    1.0190
  600294  0.07198   0.12200    1.0000   0.65200
  600420  0.05336   0.57200    3.0000   0.92300
  600424  0.05758   0.52200    3.1110   0.44500
  600441  0.05569    10.376    5.0000  0.061000
  600446  0.05966  0.090000    2.0740 0.0090000
  600464  0.05426    1.1530    1.0000    1.6070
  600501  0.05439   0.37900    0.0000    1.0190
  600617  0.07847   0.16700    0.0000   0.30200
  600629  0.05985  0.067000    0.0000  0.084000
  600646  0.05998  0.057000    0.0000   0.10300
  600682  0.05255   0.35900    0.0000   0.22800
  600696  0.07102   0.12200    0.0000   0.43700
  600703  0.05287   0.66400    2.0000   0.41200
  600728  0.05303    1.1700    2.0000   0.26500
  600743  0.07079   0.23700    3.0000   0.69200
  600746  0.07681   0.34300    1.0000   0.19600
  600748  0.07912   0.27800    0.0000   0.32100
  600749  0.07901   0.57600    1.0000   0.55100
  600751  0.07937   0.44100    2.0000   0.49200
  600765  0.07893   0.60600    1.0000   0.58100
  600768  0.07148   0.32800    4.0000   0.84200
  600779  0.07045   0.28800    3.2140   0.44000
  600781  0.07149   0.30800    3.2140   0.65200
  600782  0.06995   0.34500    4.0000   0.17100
  600784  0.06988   0.40500    4.2860   0.14800
  600785  0.07122   0.34500    3.2140   0.82300
  600786  0.07116   0.43300    4.2860    1.0750
  600794  0.05674   0.46300    1.0710  0.027000
  600812  0.07032   0.66900    1.0000   0.40900
  600827  0.05510   0.54000    1.0000    1.7560
  600877  0.07133   0.18500    0.0000   0.40100
  600880  0.07053   0.23500    1.0710   0.30600
  600882  0.05529    1.4930    4.0000    2.0250
  600901  0.07175   0.23900    1.0000   0.46500
  600916  0.05479    7.7390    9.0000    2.2130
  600915  0.05526    5.2790    8.0000    2.2930
  600929  0.05458    6.9920    9.0000    1.1610
  600932  0.05521    14.153    10.000    2.5640
  600953  0.05519    9.4690    9.0000    2.5570
  600969  0.05476    11.045    10.000    2.1000
  600968  0.05447    10.813    10.000    1.4360
  600974  0.05563    4.1620    10.000    2.0830
  600977  0.05553    4.0900    10.000    2.2200
  600973  0.05512    6.7390    9.0000    2.1890
  601002  0.05541    9.9500    10.000    2.5090
  601018  0.05395    2.2410    7.0000   0.80700
  601101  0.07106   0.14600    0.0000   0.40300
  601208  0.05845   0.27700    1.0000   0.18900
  601210  0.07046   0.10300    2.0000   0.18500
  601242  0.05735   0.24900    1.0380   0.61400
  601243  0.05730   0.25900    1.0380   0.62100
  601251  0.05795   0.24700    2.0000   0.49500
  601255  0.05773   0.24500    1.0000   0.37400
  601248  0.07136   0.10300    2.0770   0.48700
  601266  0.07137   0.46000    2.0000   0.72100
  601282  0.05789   0.46800    4.0000   0.71800
  601283  0.05742   0.39900    3.0000   0.53900
  601299  0.05785   0.34300    4.0000   0.70900
  601300  0.07177   0.52100    0.0000   0.43600
  601323  0.05518   0.41700    2.0740   0.25900
  601325  0.05594   0.51000    2.0740   0.39500
  601488  0.05665   0.26900    0.0000   0.70600
  601534  0.06794  0.022000    0.0000   -999.90
  601539  0.05681   0.23900    0.0000   0.59900
  601567  0.06191  0.035000    1.0000   0.16900
  601575  0.06171  0.070000    0.0000   -999.90
  601606  0.05767   0.57900    0.0000   -999.90
  601605  0.05733   0.32900    0.0000   -999.90
  601625  0.07466    1.8720    2.0000   -999.90
  601628  0.07167    369.73    2.0000   -999.90
  609177  0.07354   0.54100    1.0000   -999.90
  609190  0.05130    1.4660    0.0000   -999.90
  609200  0.07376   0.49100    2.0000   -999.90
  609227  0.07856  0.081000    0.0000   -999.90
  609240  0.07787   0.26400    0.0000   0.60500
  609245  0.06742  0.043000    0.0000   -999.90
  609404  0.07833   0.18700    0.0000  0.055000
  609510  0.07762  0.072000    0.0000   0.13600
  609552  0.07770  0.080000    0.0000   0.12600
  609747  0.07775   0.27800    0.0000   0.47100
  609807  0.06271   0.10100    0.0000  0.070000
  609835  0.07046 0.0040000    0.0000   -999.90
  609883  0.06236   0.20100    0.0000  0.092000
  609875  0.07059 0.0050000    0.0000   0.17200
  609913  0.07779   0.36500    1.0000   0.41100
  609922  0.07835   0.45700    3.0000   0.56300
  609955  0.07310 0.0040000    0.0000 0.0030000
  609965  0.06195   0.42300    3.0000   0.39600
  609969  0.06008   0.22000    0.0000   0.29500
  609985  0.06566  0.055000    0.0000  0.021000
  609986  0.06115   0.24100    0.0000   0.65800
  609994  0.07981   0.99400    3.0000   0.65700
  610011  0.07753   0.55500    1.0000   0.27300
  610036  0.07895   0.63900    2.0000   0.36000
  610044  0.07783   0.38200    1.0000   0.49500
  610065  0.05198   0.15900    2.0000   0.19400
